latitude longitude arsenic censor depth_m year_made year_observed
22.819 90.473 2.6 0 302 1992 1998
22.814 90.363 35.4 0 16 1994 1998
22.391 89.991 1.4 0 14 1997 1998
22.743 90.099 1.1 0 268 1993 1998
22.372 90.093 0.5 0 322 1993 1998
22.456 90.102 5.4 0 25 1993 1998
23.341 90.173 4.7 0 245 1998 1998
23.453 90.203 375 0 46 1992 1998
23.205 90.05 3.5 0 301 1998 1998
23.081 90.302 2 0 240 1996 1998
23.633 89.551 4.7 0 43 1984 1998
23.482 89.881 99.6 0 23 1986 1998
23.725 89.753 10.1 0 16 1985 1998
24.681 88.169 3.6 0 39 1983 1998
24.532 88.759 1.3 0 32 -1 1998
24.294 88.74 15.7 0 53 1997 1998
24.227 88.758 0.5 1 39 1982 1998
24.427 88.771 0.5 1 32 1994 1998
23.942 89.41 0.5 0 42 1977 1998
24.042 89.542 21 0 41 1997 1998
23.831 90.9 406 0 30 1996 1998
23.169 91.129 350 0 20 1990 1998
22.491 90.711 1 0 284 1997 1998
22.683 90.648 163 0 14 1996 1998
22.164 90.758 2.7 0 294 1993 1998
22.628 90.662 1.2 0 294 1998 1998
23.624 90.611 224 0 30 1970 1998
23.673 90.631 311 0 30 1989 1998
23.727 90.634 175 0 25 1997 1998
23.754 90.582 0.5 1 25 1995 1998
23.755 90.581 0.5 1 54 1984 1998
23.778 90.526 0.5 1 48 1994 1998
23.831 90.554 0.5 1 15 1958 1998
23.875 90.581 31.9 0 39 1997 1998
23.865 90.551 0.7 0 56 1988 1998
23.787 90.605 180 0 16 1992 1998
23.787 90.659 70.8 0 39 1993 1998
23.788 90.705 1.1 0 16 1996 1998
23.779 90.678 0.5 1 15 1997 1998
23.751 90.667 76.6 0 39 1993 1998
23.7 90.516 1.1 0 135 1993 1998
23.717 90.512 0.5 1 36 1990 1998
23.649 90.476 0.5 1 52 1995 1998
23.764 90.165 9.6 0 38 1991 1998
23.772 90.205 0.8 0 51 1991 1998
23.817 90.122 1.9 0 41 1997 1998
23.833 90.085 45.6 0 22 1997 1998
23.607 90.496 0.5 1 164 1985 1998
23.591 90.501 25.7 0 46 1975 1998
23.652 90.524 3.1 0 66 1997 1998
23.869 90.023 12.9 0 17 1993 1998
23.851 90.001 43.6 0 115 1979 1998
23.88 90.071 12.8 0 34 1996 1998
23.816 90.062 4.6 0 23 1983 1998
23.802 90.02 9.1 0 18 1983 1998
23.757 90.019 51.9 0 24 1990 1998
23.847 89.829 14.8 0 118 1984 1998
23.897 89.8 43.2 0 47 1990 1998
23.867 89.775 5.9 0 39 1993 1998
23.823 89.792 30.4 0 59 1980 1998
23.836 89.872 4.7 0 38 1991 1998
23.968 89.83 0.5 1 20 1983 1998
23.744 89.978 65 0 105 1984 1998
23.748 90.016 12.9 0 34 1993 1998
23.764 89.962 82.7 0 39 1989 1998
23.771 89.91 88.8 0 36 1997 1998
23.774 89.9 1 0 39 1995 1998
23.877 89.91 20.2 0 50 1960 1998
23.893 89.878 15.4 0 112 1984 1998
23.926 89.859 35 0 39 1990 1998
23.893 89.89 18.6 0 42 1997 1998
23.871 89.839 30.6 0 52 1996 1998
23.801 89.96 20.1 0 35 1991 1998
23.975 89.906 14.7 0 34 1997 1998
23.947 89.931 0.8 0 20 1993 1998
23.919 89.835 13.2 0 49 1982 1998
23.937 89.783 12.2 0 18 1988 1998
23.991 90.044 2.9 0 92 1984 1998
23.972 90.041 18.2 0 28 1995 1998
23.972 89.992 3.6 0 25 1965 1998
23.994 89.96 8.2 0 23 1991 1998
23.969 89.967 0.5 1 15 1996 1998
23.95 90.023 31.2 0 26 1979 1998
23.917 90.034 0.5 1 23 1976 1998
23.918 89.979 62.8 0 26 1975 1998
23.899 90.041 14.9 0 20 1991 1998
23.906 90.194 0.5 1 26 1995 1998
23.926 90.179 3.6 0 71 1996 1998
23.995 90.081 21.2 0 62 1995 1998
23.961 90.082 5.9 0 53 1997 1998
23.946 90.115 29.9 0 55 1990 1998
23.92 90.139 3.6 0 57 1996 1998
23.893 90.13 107 0 38 1995 1998
23.834 90.26 1 0 41 1984 1998
23.88 90.268 0.5 1 115 1984 1998
23.91 90.301 0.5 1 59 1997 1998
23.933 90.308 0.5 1 34 1996 1998
23.991 90.248 0.5 1 56 1995 1998
23.911 90.234 0.5 1 43 1996 1998
