Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Daequan Cook,SG,22,MIA,2010,45,3,691,126,31.7,127,32.300000000000004,25,84,9,73,43,14,10,24,50,7.5,19.6,0.01,-0.4
Jamal Crawford,SG,29,ATL,2010,79,0,2460,427,38.2,678,49.1,315,85.7,34,167,238,61,12,137,132,18.4,25.8,0.143,1.8
Dante Cunningham,PF,22,POR,2010,63,2,707,2,0,212,50,48,64.60000000000001,54,106,14,24,22,15,97,14.3,16.8,0.129,0
Stephen Curry,PG,21,GSW,2010,80,77,2896,380,43.7,763,47.4,200,88.5,48,308,472,152,19,243,252,16.3,21.8,0.077,2.2
Erick Dampier,C,34,DAL,2010,55,47,1280,3,33.300000000000004,210,62.9,101,60.4,128,272,31,15,77,61,153,14,11.4,0.14,0.9
Marquis Daniels,SF,29,BOS,2010,51,4,937,28,21.4,221,53.400000000000006,56,60.699999999999996,27,68,66,27,6,42,91,9.6,15.8,0.064,-0.1
Baron Davis,PG,30,LAC,2010,75,73,2523,296,27.700000000000003,719,45.9,291,82.1,52,214,598,126,43,211,210,17.4,24.3,0.086,2.3
Glen Davis,PF,24,BOS,2010,54,1,933,4,0,275,44.4,138,69.6,101,104,35,21,14,53,132,11.5,19.7,0.084,-0.2
Ricky Davis,SF,30,LAC,2010,36,2,499,42,38.1,101,45.5,31,58.099999999999994,10,47,39,11,3,29,39,8.5,16.8,0.005,-0.4
Austin Daye,SF,21,DET,2010,69,4,915,95,30.5,200,54,56,82.1,34,140,34,25,26,48,114,12.8,18.5,0.067,-0.2
Carlos Delfino,SF,27,MIL,2010,75,66,2279,365,36.7,367,45,119,78.2,51,343,202,80,21,119,138,12.9,18,0.101,2.1
Luol Deng,SF,24,CHI,2010,70,69,2651,83,38.6,931,47.4,330,76.4,131,381,143,66,61,134,129,16.1,21.9,0.106,1.4
DeMar DeRozan,SG,20,TOR,2010,77,65,1664,16,25,496,50.6,194,76.3,66,157,53,43,18,62,176,12.5,18.1,0.066,-0.3
Boris Diaw,PF,27,CHA,2010,82,82,2906,206,32,567,54.1,147,76.9,131,293,325,60,57,178,219,12.8,16.2,0.103,2.9
Travis Diener,PG,27,IND,2010,4,0,25,5,20,1,0,2,0,0,2,4,3,0,0,1,7.9,12.1,-0.005,0
Travis Diener,PG,27,POR,2010,5,0,26,2,0,2,50,2,50,0,1,4,1,0,0,1,7.3,8.9,0.043,0
Keyon Dooling,PG,29,NJN,2010,53,8,971,157,37.6,167,41.9,61,77,8,46,135,34,0,59,82,11.6,19.4,0.035,-0.5
Toney Douglas,PG,23,NYK,2010,56,12,1087,175,38.9,216,51.4,68,80.9,40,68,112,42,3,55,116,14.9,19.8,0.097,0.3
Chris Douglas-Roberts,SF,23,NJN,2010,67,38,1730,54,25.900000000000002,519,46.400000000000006,157,84.7,45,153,93,55,19,97,101,11.5,19.6,0.02,-0.9
Goran Dragic,PG,23,PHO,2010,80,2,1442,188,39.4,303,48.8,159,73.6,38,133,241,48,8,126,131,14.8,21.1,0.094,0.9
Jared Dudley,SF,24,PHO,2010,82,1,1991,262,45.800000000000004,228,46.1,138,75.4,99,182,115,81,16,68,162,13.6,13.7,0.129,2.9
Chris Duhon,PG,27,NYK,2010,67,59,2072,258,34.9,193,40.400000000000006,95,71.6,28,150,378,59,3,110,83,10.7,13.1,0.045,-0.5
Tim Duncan,C,33,SAS,2010,78,77,2438,11,18.2,1071,52.2,374,72.5,221,567,246,45,117,140,152,24.7,26,0.215,4.7
Mike Dunleavy,SF,29,IND,2010,67,15,1486,236,31.8,322,47.8,158,84.2,25,211,103,38,15,72,105,13.1,20.7,0.075,0
Kevin Durant,SF,21,OKC,2010,82,82,3239,351,36.5,1317,50.6,840,90,105,518,231,112,84,271,171,26.2,32,0.238,5.8
Wayne Ellington,SG,22,MIN,2010,76,1,1384,162,39.5,286,44.1,70,87.1,33,126,74,20,5,74,72,9.6,17.4,0.014,-1
Monta Ellis,SG,24,GSW,2010,64,64,2647,228,33.800000000000004,1178,47,388,75.3,47,210,340,143,25,244,189,16.7,29.5,0.023,0.3
Maurice Evans,SF,31,ATL,2010,79,5,1317,169,33.7,224,52.7,61,75.4,59,95,48,34,17,20,125,12.2,15.4,0.114,0.4
Tyreke Evans,SG,20,SAC,2010,72,72,2677,141,25.5,1024,48.5,465,74.8,66,314,414,109,26,216,204,18.2,26.2,0.097,2.5
Jordan Farmar,PG,23,LAL,2010,82,0,1474,229,37.6,286,48.3,85,67.10000000000001,14,117,127,52,11,72,109,12.3,19,0.093,0.2
Raymond Felton,PG,25,CHA,2010,80,80,2643,156,38.5,690,47.5,173,76.3,53,235,446,123,22,168,172,15.2,19.2,0.118,2.4
Rudy Fernandez,SG,24,POR,2010,62,2,1441,266,36.8,157,39.5,98,86.7,35,129,127,62,11,72,87,13.1,17.7,0.101,1.4
Kyrylo Fesenko,C,23,UTA,2010,49,5,408,1,0,94,55.300000000000004,57,42.1,33,57,15,6,19,24,78,9.7,15.8,0.07,-0.1
Michael Finley,SF,36,SAS,2010,25,6,395,41,31.7,56,42.9,9,66.7,5,33,19,6,4,13,12,6.5,13.2,0.026,-0.2
Michael Finley,SF,36,BOS,2010,21,1,314,41,46.300000000000004,46,54.300000000000004,6,33.300000000000004,1,32,24,4,2,8,21,12.1,14.6,0.115,0.1
Derek Fisher,PG,35,LAL,2010,82,82,2227,224,34.8,334,40.1,132,85.6,25,145,201,90,9,78,202,9.3,14,0.085,0.7
Jonny Flynn,PG,20,MIN,2010,81,81,2339,215,35.8,737,43.4,270,82.6,24,167,356,82,2,233,98,13,24.2,0.002,-1
T.J. Ford,PG,26,IND,2010,47,32,1189,50,16,368,48.4,135,77,41,108,180,44,11,90,102,13.4,21,0.058,0.1
Jeff Foster,C,33,IND,2010,16,3,255,1,0,45,48.9,9,55.60000000000001,34,47,21,3,4,14,45,9.6,11.1,0.085,0
Randy Foye,PG,26,WAS,2010,70,38,1667,182,34.599999999999994,437,44.2,145,89,16,114,228,33,10,94,123,13.2,21.1,0.064,-0.2
Channing Frye,C,26,PHO,2010,81,41,2190,392,43.9,311,46.6,121,81,66,361,113,64,74,73,263,15,16.7,0.141,3.2
Sundiata Gaines,PG,23,UTA,2010,32,0,217,26,26.900000000000002,56,55.400000000000006,46,50,6,23,39,12,0,14,17,17.3,24,0.121,0.1
Danilo Gallinari,SF,21,NYK,2010,81,74,2747,488,38.1,439,46.9,307,81.8,65,333,135,75,58,110,191,14.8,19.3,0.098,1.6
Francisco Garcia,SG,28,SAC,2010,25,4,575,59,39,117,50.4,17,88.2,11,55,45,10,19,21,49,12.4,15.7,0.081,0.1
