Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Zach Randolph,PF,33,MEM,2015,71,71,2304,20,35,912,49,298,76.5,225,522,153,69,14,156,175,19.5,24.3,0.149,2
J.J. Redick,SG,30,LAC,2015,78,78,2409,458,43.7,480,51.5,203,90.10000000000001,22,145,137,39,8,95,134,16.2,21,0.134,1.6
Glen Rice,SG,24,WAS,2015,5,0,43,7,14.299999999999999,8,25,6,66.7,2,2,2,0,0,2,11,-3.6,20.7,-0.121,-0.1
Jason Richardson,SG,34,PHI,2015,19,15,416,96,32.300000000000004,82,37.8,22,77.3,13,53,38,13,3,16,28,11.7,21.3,0.045,-0.1
Luke Ridnour,PG,33,ORL,2015,47,0,683,63,31.7,113,48.699999999999996,21,85.7,8,60,96,20,4,38,67,10,14.8,0.042,-0.3
Austin Rivers,SG,22,NOP,2015,35,3,772,50,28.000000000000004,172,41.9,71,74.6,12,56,87,18,7,30,65,10.1,16.7,0.046,-0.3
Austin Rivers,PG,22,LAC,2015,41,2,791,81,30.9,193,47.699999999999996,55,58.199999999999996,15,69,68,30,7,35,81,10.6,19,0.046,-0.1
Andre Roberson,SG,23,OKC,2015,67,65,1286,85,24.7,116,61.199999999999996,48,47.9,60,195,70,53,29,46,141,9.1,9,0.079,0.7
Brian Roberts,PG,29,CHO,2015,72,10,1330,193,32.1,259,44,74,89.2,13,96,162,33,6,57,75,11.7,18.6,0.064,-0.2
Glenn Robinson,SG,21,MIN,2015,25,0,108,6,16.7,18,38.9,16,75,4,10,3,3,0,3,5,8.2,13.9,0.009,-0.1
Glenn Robinson,SF,21,PHI,2015,10,1,153,13,30.8,30,46.7,8,50,11,14,8,3,1,8,10,8.6,15.5,0.013,-0.1
Nate Robinson,PG,30,DEN,2015,33,1,465,92,26.1,112,42,40,65,14,25,77,14,3,22,68,10.6,22.6,0.024,-0.1
Nate Robinson,PG,30,LAC,2015,9,0,126,20,35,31,32.300000000000004,6,83.3,3,8,20,6,0,8,8,10.4,22.1,0.012,-0.1
Thomas Robinson,PF,23,PHI,2015,22,0,407,2,0,167,47.3,58,60.3,62,108,24,16,9,26,50,19.3,23.6,0.118,0
Rajon Rondo,PG,28,BOS,2015,22,22,699,32,25,168,43.5,36,33.300000000000004,25,140,237,37,3,75,42,15.4,18.2,0.064,0.4
Rajon Rondo,PG,28,DAL,2015,46,46,1319,54,35.199999999999996,391,44.800000000000004,42,45.2,48,160,301,54,4,135,111,12.4,20.3,0.023,0.3
Derrick Rose,PG,26,CHI,2015,51,51,1530,271,28.000000000000004,564,46.5,187,81.3,35,126,251,36,16,161,63,15.9,31.7,0.038,0.3
Terrence Ross,SF,23,TOR,2015,82,61,2092,390,37.2,363,45.2,56,78.60000000000001,32,194,86,53,25,69,136,11.2,18.3,0.054,0.2
Ricky Rubio,PG,24,MIN,2015,22,22,692,51,25.5,168,38.7,71,80.30000000000001,19,106,193,38,1,64,59,15.2,20,0.033,0.3
Damjan Rudez,SF,28,IND,2015,68,2,1047,170,40.6,93,53.800000000000004,23,69.6,8,39,53,16,5,47,79,8.2,13.8,0.061,-0.1
Brandon Rush,SG,29,GSW,2015,33,0,271,27,11.1,27,29.599999999999998,11,45.5,4,37,12,5,12,11,27,0.8,11.2,-0.056,-0.3
Robert Sacre,C,25,LAL,2015,67,18,1133,1,0,305,41.3,82,67.10000000000001,89,144,55,28,43,36,121,10.9,14.8,0.035,-0.2
John Salmons,SF,35,NOP,2015,21,0,270,26,30.8,22,36.4,4,50,4,17,13,9,4,5,25,5.1,9.3,0.017,-0.1
JaKarr Sampson,SF,21,PHI,2015,74,32,1131,127,24.4,219,52.5,94,67,35,128,77,38,26,76,135,9.4,17.9,0.025,-0.7
Dennis Schroder,PG,21,ATL,2015,77,10,1516,148,35.099999999999994,517,44.9,179,82.69999999999999,29,135,317,49,4,150,127,15.7,27,0.08,-0.2
Luis Scola,PF,34,IND,2015,81,16,1659,20,25,622,47.4,226,69.89999999999999,138,388,105,47,18,94,192,16.8,22.8,0.126,0.5
Mike Scott,PF,26,ATL,2015,68,0,1123,192,34.4,261,51.7,77,79.2,45,154,75,25,3,39,83,15.1,21.4,0.115,0.1
Thabo Sefolosha,SF,30,ATL,2015,52,7,976,78,32.1,171,46.2,58,77.60000000000001,53,170,75,53,21,38,67,13.8,14.6,0.121,0.8
Kevin Seraphin,C,25,WAS,2015,79,0,1235,2,0,448,51.6,82,70.7,87,201,59,10,59,98,197,12.5,21.5,0.066,-0.3
Ramon Sessions,PG,28,SAC,2015,36,7,642,28,21.4,155,36.8,88,72.7,13,56,96,13,0,51,45,8.1,18.7,-0.025,-0.7
Ramon Sessions,PG,28,WAS,2015,28,3,546,32,40.6,119,41.199999999999996,85,81.2,10,65,86,16,0,35,28,14.7,18.6,0.125,0.1
Iman Shumpert,SG,24,NYK,2015,24,24,625,66,34.8,149,43.6,37,67.60000000000001,22,59,78,30,3,42,67,11.9,20.1,0.02,0
Iman Shumpert,SG,24,CLE,2015,38,1,920,130,33.800000000000004,126,48.4,27,66.7,33,110,57,51,13,49,71,11.1,15.6,0.065,0.6
Alexey Shved,SG,26,PHI,2015,17,0,285,57,29.799999999999997,73,47.9,57,84.2,8,14,46,14,1,18,21,20,26.5,0.16,0.1
Alexey Shved,SG,26,HOU,2015,9,0,59,12,33.300000000000004,12,33.300000000000004,11,81.8,1,3,3,1,0,5,2,9.3,24.9,0.013,-0.1
Alexey Shved,SG,26,NYK,2015,16,9,423,70,37.1,111,42.3,82,78,14,59,57,15,5,25,25,20.5,26.3,0.135,0.4
Henry Sims,C,24,PHI,2015,73,32,1399,22,18.2,480,48.8,137,77.4,121,238,79,39,30,99,135,14.5,20.6,0.072,-0.5
Kyle Singler,SF,26,DET,2015,54,40,1287,187,40.6,163,39.300000000000004,36,80.60000000000001,23,116,67,33,14,42,98,9.4,14,0.061,0.3
Kyle Singler,SF,26,OKC,2015,26,18,456,54,37,42,28.599999999999998,16,68.8,10,45,18,14,7,13,55,5.8,11,0.041,-0.1
Donald Sloan,PG,27,IND,2015,53,21,1107,131,31.3,224,46.400000000000006,77,77.9,12,131,190,23,0,65,47,13.1,18.6,0.085,0.2
Marcus Smart,PG,20,BOS,2015,67,38,1808,272,33.5,205,41,127,64.60000000000001,61,161,208,99,18,90,176,11,15.1,0.077,1.4
Ish Smith,PG,26,OKC,2015,30,0,155,5,20,40,35,9,66.7,5,22,28,4,1,9,12,9,16.1,0.014,-0.1
Ish Smith,PG,26,PHI,2015,25,14,677,55,30.9,267,41.6,48,58.3,10,63,152,32,5,69,38,13,26.5,-0.01,-0.3
J.R. Smith,SG,29,NYK,2015,24,6,619,90,35.6,161,42.9,39,69.19999999999999,4,54,81,18,4,45,44,11.5,23.3,-0.008,-0.4
J.R. Smith,SG,29,CLE,2015,46,45,1461,336,39,168,49.4,33,81.8,26,134,114,64,18,52,119,14.5,17.6,0.124,1.8
Jason Smith,C,28,NYK,2015,82,31,1785,42,35.699999999999996,550,44,153,83,98,226,140,32,44,104,205,12,19.7,0.032,-0.6
Josh Smith,PF,29,DET,2015,28,28,896,37,24.3,354,40.699999999999996,111,46.800000000000004,52,150,132,37,48,72,82,14.3,25.3,0.012,0.7
Josh Smith,PF,29,HOU,2015,55,7,1404,191,33,405,48.9,144,52.1,100,228,145,50,68,134,146,15.2,24.5,0.071,1
Russ Smith,PG,23,MEM,2015,6,0,36,5,20,10,50,13,92.30000000000001,1,2,6,3,0,5,7,22.7,32.8,0.214,0
Tony Snell,SF,23,CHI,2015,72,22,1412,197,37.1,174,49.4,55,80,31,145,62,32,11,48,86,10.2,14.1,0.082,0.2
Marreese Speights,C,27,GSW,2015,76,9,1207,18,27.800000000000004,628,49.8,178,84.3,109,216,72,20,34,82,189,19.5,29.1,0.158,-0.2
Nik Stauskas,SG,21,SAC,2015,73,1,1127,149,32.2,147,40.8,64,85.9,11,77,67,20,17,40,92,7.5,14.2,0.021,-0.5
Lance Stephenson,SG,24,CHO,2015,61,25,1573,105,17.1,445,42.5,110,62.7,39,238,240,38,8,128,134,8.8,21.1,-0.026,-0.6
David Stockton,PG,23,SAC,2015,3,0,33,2,50,4,25,6,50,0,2,9,2,0,4,1,10.8,16.9,-0.014,-0.1
Amar'e Stoudemire,PF,32,NYK,2015,36,14,865,3,0,308,54.900000000000006,127,74,83,162,37,20,34,63,111,19.5,22.9,0.12,0.2
Amar'e Stoudemire,PF,32,DAL,2015,23,1,380,1,0,178,58.4,59,67.80000000000001,27,57,8,9,4,15,50,22.3,25.8,0.181,0
Rodney Stuckey,PG,28,IND,2015,71,36,1874,141,39,613,45.2,216,81.89999999999999,36,212,219,56,10,118,131,15.4,23.4,0.103,0.9
Jared Sullinger,PF,22,BOS,2015,58,49,1566,184,28.299999999999997,524,49.4,129,74.4,147,294,134,44,42,78,153,17.9,23.6,0.123,1.6
Jeffery Taylor,SF,25,CHO,2015,29,13,430,36,30.599999999999998,78,43.6,41,63.4,14,39,22,12,1,19,36,8.2,16,0.034,-0.2
Jeff Teague,PG,26,ATL,2015,73,72,2228,207,34.300000000000004,680,49.6,319,86.2,30,154,513,125,31,205,139,20.6,25.3,0.166,2.1
Mirza Teletovic,PF,29,BRK,2015,40,4,892,193,32.1,126,47.599999999999994,46,71.7,27,167,46,14,16,53,74,10.7,20.1,0.026,-0.1
Sebastian Telfair,PG,29,OKC,2015,16,1,327,60,30,65,43.1,34,70.6,2,28,45,10,0,18,29,11.4,20.8,0.063,-0.1
Garrett Temple,SG,28,WAS,2015,52,18,735,88,37.5,82,42.699999999999996,48,72.89999999999999,24,66,56,42,9,34,76,10.9,13.9,0.1,0.5
Jason Terry,SG,37,HOU,2015,77,18,1641,323,39,123,50.4,48,81.3,15,106,147,66,19,74,116,11.4,14.3,0.104,0.7
Isaiah Thomas,PG,25,PHO,2015,46,1,1181,207,39.1,305,44.9,211,87.2,26,83,171,45,5,89,105,19.7,25.8,0.162,1
Isaiah Thomas,PG,25,BOS,2015,21,0,545,139,34.5,146,47.3,137,86.1,7,37,113,12,0,54,45,22.3,32.1,0.185,0.6
Lance Thomas,SF,26,OKC,2015,22,13,450,1,0,125,36,33,69.69999999999999,28,47,20,11,0,17,38,6.6,15.1,0.005,-0.4
Lance Thomas,PF,26,NYK,2015,40,24,1040,21,33.300000000000004,295,44.1,66,74.2,37,83,49,26,8,57,63,8.6,17.8,-0.022,-1
Malcolm Thomas,PF,26,PHI,2015,17,0,194,7,0,33,54.50000000000001,13,69.19999999999999,16,40,7,3,1,13,17,8.2,13.2,0.023,-0.3
Hollis Thompson,SG,23,PHI,2015,71,23,1776,287,40.1,256,42.6,89,70.8,53,145,85,57,26,66,141,10.9,15.9,0.07,0
Jason Thompson,PF,28,SAC,2015,81,63,1991,1,0,427,47.099999999999994,143,62.2,139,391,85,33,57,84,239,10.2,12.7,0.057,0.1
Klay Thompson,SG,24,GSW,2015,77,77,2455,545,43.9,754,48.1,256,87.9,27,220,222,87,60,149,122,20.8,27.6,0.172,2.9
Marcus Thornton,SG,27,BOS,2015,39,0,640,124,41.9,181,41.4,51,82.39999999999999,19,54,34,21,7,22,35,15.8,23.9,0.104,0
Marcus Thornton,SG,27,PHO,2015,9,0,81,19,10.5,21,52.400000000000006,5,80,4,9,2,6,0,5,3,8.3,25.6,-0.077,-0.1
Anthony Tolliver,PF,29,PHO,2015,24,0,272,62,38.7,12,16.7,6,66.7,6,38,10,4,1,11,20,7.8,14.2,0.04,-0.1
Anthony Tolliver,PF,29,DET,2015,52,11,1160,228,36,91,58.199999999999996,63,79.4,45,147,49,20,15,40,117,11.8,14.8,0.104,0.6
P.J. Tucker,SF,29,PHO,2015,78,63,2383,252,34.5,344,50.6,143,72.7,114,388,122,107,23,96,179,12.5,13.9,0.098,1.9
Hedo Turkoglu,SF,35,LAC,2015,62,2,705,139,43.2,49,46.9,11,54.50000000000001,5,94,37,19,7,29,66,10.5,14.2,0.081,0.2
Evan Turner,SG,26,BOS,2015,82,57,2260,119,27.700000000000003,627,45.800000000000004,141,75.2,40,377,449,83,19,198,180,12.8,19.5,0.054,0.6
Beno Udrih,PG,32,MEM,2015,79,12,1494,97,26.8,408,53.900000000000006,102,85.3,20,123,220,46,8,89,88,15.4,19.6,0.115,0.5
Jonas Valanciunas,C,22,TOR,2015,80,80,2096,1,0,651,57.3,276,78.60000000000001,215,478,39,33,95,109,222,20.6,19.1,0.189,0.8
Anderson Varejao,C,32,CLE,2015,26,26,636,2,0,198,56.10000000000001,45,73.3,57,113,35,19,16,35,58,17.7,18.1,0.145,0.5
Greivis Vasquez,PG,28,TOR,2015,82,29,1991,351,37.9,374,43.6,66,75.8,22,194,302,46,10,119,177,12.6,19.8,0.066,0.4
Charlie Villanueva,PF,30,DAL,2015,64,1,678,221,37.6,141,47.5,35,57.099999999999994,30,119,19,15,22,28,64,17.4,26.7,0.096,0
Noah Vonleh,PF,19,CHO,2015,25,0,259,13,38.5,63,39.7,26,69.19999999999999,28,58,4,4,9,11,20,13.2,17.3,0.085,-0.2
Nikola Vucevic,C,24,ORL,2015,74,74,2529,6,33.300000000000004,1200,52.400000000000006,218,75.2,238,572,147,54,54,148,220,21.5,26,0.133,1.6
Dwyane Wade,SG,33,MIA,2015,62,62,1971,102,28.4,982,48.9,370,76.8,58,161,299,73,21,209,105,21.4,34.7,0.086,1.6
Dion Waiters,SG,23,CLE,2015,33,3,786,86,25.6,256,45.300000000000004,60,78.3,12,45,74,44,10,50,59,12.2,24,0.029,-0.2
Dion Waiters,SG,23,OKC,2015,47,20,1422,160,31.900000000000002,444,41.9,112,62.5,29,106,89,46,11,63,96,10.1,21.7,0.023,-0.7
Henry Walker,SF,27,MIA,2015,24,13,628,132,34.1,36,36.1,18,77.8,7,75,29,24,9,24,76,8,15,0.039,0.2
Kemba Walker,PG,24,CHO,2015,62,58,2119,280,30.4,701,41.8,283,82.69999999999999,35,185,318,89,31,100,92,17.6,25.9,0.101,2.3
John Wall,PG,24,WAS,2015,79,79,2837,217,30,949,47.8,362,78.5,36,330,792,138,45,304,180,19.9,26.1,0.132,3.9
Gerald Wallace,SF,32,BOS,2015,32,0,286,3,33.300000000000004,31,41.9,15,40,17,40,11,15,4,18,19,6.2,9,0.014,-0.1
T.J. Warren,SF,21,PHO,2015,40,1,614,21,23.799999999999997,193,56.00000000000001,19,73.7,41,44,25,18,9,27,51,14,17.8,0.085,0
C.J. Watson,PG,30,IND,2015,57,21,1422,175,40,242,45.9,167,82.6,18,145,208,57,9,100,107,15.4,18.8,0.135,1.3
Travis Wear,SF,24,NYK,2015,51,1,672,30,36.7,179,40.8,26,76.9,31,75,40,15,11,35,55,8.5,17.5,-0.02,-0.7
Martell Webster,SF,28,WAS,2015,32,0,352,43,23.3,48,29.2,64,75,10,36,17,7,1,22,24,5.9,18.2,0,-0.4
David West,PF,34,IND,2015,66,66,1895,20,20,666,47.9,161,73.9,108,341,223,48,48,120,160,16,21,0.108,1.8
Russell Westbrook,PG,26,OKC,2015,67,67,2302,288,29.9,1183,45.7,654,83.5,124,364,574,140,14,293,184,29.1,38.4,0.222,7.6
Shayne Whittington,PF,23,IND,2015,20,0,108,6,16.7,36,50,23,78.3,10,19,6,5,2,5,18,20,23.9,0.2,0.1
Andrew Wiggins,SF,19,MIN,2015,82,82,2969,126,31,1011,45.300000000000004,466,76,134,240,170,86,50,177,190,13.9,22.6,0.034,-0.2
C.J. Wilcox,SG,24,LAC,2015,21,0,101,19,36.8,19,47.4,2,100,1,6,8,3,1,10,7,8.5,21.8,-0.024,-0.1
Deron Williams,PG,30,BRK,2015,68,55,2114,237,36.7,534,39.5,241,83.39999999999999,29,208,448,64,17,154,157,15.7,22.3,0.083,1.1
Derrick Williams,PF,23,SAC,2015,74,6,1462,156,31.4,329,51.1,196,68.4,41,161,50,34,4,56,67,12.8,18.9,0.069,-0.5
Elliot Williams,SG,25,UTA,2015,5,0,42,7,71.39999999999999,6,16.7,2,50,0,3,4,2,0,4,1,14.4,19.5,0.09,0
Elliot Williams,SG,25,NOP,2015,8,0,77,11,27.3,13,38.5,2,0,0,5,8,2,0,0,11,5.6,14.7,0.012,-0.1
Lou Williams,SG,28,TOR,2015,80,0,2016,447,34,481,46.400000000000006,395,86.1,24,127,164,88,10,101,103,19.9,27,0.157,1.5
Marvin Williams,PF,28,CHO,2015,78,37,2035,265,35.8,230,50,87,71.3,58,328,100,69,36,60,146,11.8,13.3,0.102,1.5
Mo Williams,PG,32,MIN,2015,41,19,1149,170,34.699999999999996,277,43.7,94,85.1,13,85,261,30,8,102,103,14.4,22.7,0.031,-0.3
Mo Williams,PG,32,CHO,2015,27,14,831,178,33.7,235,43,93,89.2,9,67,163,16,6,70,59,16.9,28.8,0.08,0.6
Reggie Williams,SF,28,SAS,2015,20,0,105,19,15.8,20,60,4,100,5,12,10,1,0,2,12,10.5,18.5,0.083,0
Shawne Williams,SF,28,MIA,2015,44,22,924,152,39.5,88,47.699999999999996,33,84.8,27,112,36,21,17,23,116,11.2,14.1,0.102,0.4
Shawne Williams,SF,28,DET,2015,19,0,163,26,15.4,34,44.1,7,100,9,18,8,4,4,7,19,6.7,19.1,-0.021,-0.1
Nate Wolters,PG,23,MIL,2015,11,0,142,5,0,26,46.2,4,25,2,14,10,5,0,3,11,5.4,11.3,0.018,-0.1
Nate Wolters,PG,23,NOP,2015,10,0,105,2,0,24,33.300000000000004,2,50,6,12,11,3,2,10,7,3.5,16,-0.109,-0.1
Brandan Wright,PF,27,PHO,2015,40,7,858,3,0,204,58.8,60,66.7,70,124,23,32,47,16,54,17.8,12.8,0.17,0.9
Dorell Wright,SF,29,POR,2015,48,2,592,108,38,82,37.8,42,81,14,97,41,20,11,18,55,13.4,17.1,0.128,0.4
Tony Wroten,PG,21,PHI,2015,30,15,895,142,26.1,292,47.3,180,66.7,22,64,157,48,8,113,72,14.9,30.5,0.014,0.1
James Young,SG,19,BOS,2015,31,0,332,66,25.8,36,52.800000000000004,29,55.2,9,33,13,8,2,5,22,8.5,15.8,0.047,-0.2
Nick Young,SG,29,LAL,2015,42,0,1000,225,36.9,251,36.3,148,89.2,17,79,41,23,11,44,83,14.2,26,0.058,-0.4
Thaddeus Young,PF,26,MIN,2015,48,48,1605,65,29.2,576,46.9,129,68.2,75,170,135,86,17,75,115,15,21.2,0.043,0.7
Thaddeus Young,PF,26,BRK,2015,28,20,829,50,38,277,51.6,71,60.6,52,114,38,38,8,42,56,17.1,22,0.095,0.5
Cody Zeller,C,22,CHO,2015,62,45,1487,1,100,372,46,164,77.4,97,265,100,34,49,62,156,14.1,15.6,0.123,0.9
Quincy Acy,PF,25,SAC,2016,59,29,876,49,38.800000000000004,165,60.6,68,73.5,65,123,27,29,24,27,103,14.7,13.1,0.137,0.5
Jordan Adams,SG,21,MEM,2016,2,0,15,1,0,5,40,5,60,0,2,3,3,0,2,2,17.3,30.5,0.015,0
Arron Afflalo,SG,30,NYK,2016,71,57,2371,238,38.2,561,46.9,131,84,23,243,144,25,10,82,142,10.9,17.9,0.055,-0.2
Alexis Ajinca,C,27,NOP,2016,59,17,861,1,0,314,47.8,62,83.89999999999999,75,194,31,19,36,54,134,13.8,20.4,0.058,-0.5
LaMarcus Aldridge,PF,30,SAS,2016,74,74,2261,16,0,1029,52.1,302,85.8,176,456,110,38,81,99,151,22.4,25.9,0.215,2.2
Tony Allen,SG,34,MEM,2016,64,57,1620,42,35.699999999999996,427,46.800000000000004,138,65.2,104,192,70,110,18,78,175,12.9,16.8,0.072,0.8
Al-Farouq Aminu,SF,25,POR,2016,82,82,2341,349,36.1,370,46.800000000000004,156,73.7,98,401,138,72,53,120,171,12.7,16.9,0.082,1.3
Chris Andersen,C,37,MIA,2016,7,1,36,5,40,5,40,4,75,3,6,3,1,3,2,4,17.6,17.5,0.165,0
Chris Andersen,C,37,MEM,2016,20,14,366,9,22.2,53,60.4,32,68.8,33,56,9,14,10,7,25,15.1,10.2,0.148,0.2
Alan Anderson,SG,33,WAS,2016,13,0,192,37,32.4,22,40.9,15,73.3,1,26,14,4,1,2,25,9.2,15.4,0.078,0
James Anderson,SG,26,SAC,2016,51,15,721,86,26.700000000000003,92,47.8,29,75.9,13,73,41,21,14,42,54,6,13.7,-0.017,-0.4
Justin Anderson,SF,22,DAL,2016,55,9,647,83,26.5,92,53.300000000000004,55,80,18,114,29,19,25,24,45,12.3,15.8,0.083,0.1
Kyle Anderson,SF,22,SAS,2016,78,11,1245,37,32.4,258,48.8,83,74.7,25,219,123,60,29,59,97,12.9,14.4,0.133,1.2
Ryan Anderson,PF,27,NOP,2016,66,7,2008,358,36.6,571,46.6,228,87.3,131,265,73,38,25,90,109,17.2,24.7,0.092,0.3
Giannis Antetokounmpo,PG,21,MIL,2016,80,79,2823,109,25.7,904,53.7,409,72.39999999999999,113,499,345,94,113,208,258,18.8,22.3,0.121,3.2
Carmelo Anthony,SF,31,NYK,2016,72,72,2530,310,33.900000000000006,997,46.300000000000004,403,82.89999999999999,98,458,299,62,38,176,180,20.3,29.7,0.121,2.9
Keith Appling,PG,23,ORL,2016,5,0,27,3,0,5,40,2,100,0,1,1,1,0,3,5,-4.8,19.5,-0.199,-0.1
Trevor Ariza,SF,30,HOU,2016,81,81,2859,499,37.1,360,47.8,161,78.3,67,299,188,160,26,113,177,12.9,15.7,0.09,2.5
Darrell Arthur,PF,27,DEN,2016,70,16,1516,117,38.5,372,47.3,53,75.5,86,207,96,53,48,66,185,12.5,16.7,0.072,0.6
D.J. Augustin,PG,28,OKC,2016,34,0,519,61,39.300000000000004,60,36.7,34,76.5,5,38,66,13,2,30,41,8.7,13.6,0.065,-0.2
D.J. Augustin,PG,28,DEN,2016,28,0,659,107,41.099999999999994,122,47.5,94,81.89999999999999,3,49,132,25,2,54,44,18,21.5,0.139,0.3
Jeff Ayres,C,28,LAC,2016,17,0,107,1,0,22,54.50000000000001,6,100,4,18,5,0,3,6,18,8.3,13.4,0.077,-0.1
Luke Babbitt,SF,26,NOP,2016,47,13,845,109,40.400000000000006,180,43.3,50,78,25,123,53,11,7,23,90,11.6,17.5,0.064,-0.2
Cameron Bairstow,C,25,CHI,2016,18,2,103,5,20,35,34.300000000000004,8,87.5,4,24,6,2,3,4,19,6.8,20.3,-0.004,-0.1
Leandro Barbosa,SG,33,GSW,2016,68,0,1079,110,35.5,260,50.8,62,83.89999999999999,28,89,82,44,10,53,107,11.7,18.1,0.092,0
J.J. Barea,PG,31,DAL,2016,74,16,1667,260,38.5,451,48.1,96,77.10000000000001,26,126,302,26,2,113,110,15.4,23.8,0.082,0.3
Andrea Bargnani,C,30,BRK,2016,46,0,634,16,18.8,263,47.099999999999994,57,82.5,28,69,18,4,9,26,61,11.8,23.2,0.013,-0.9
Harrison Barnes,SF,23,GSW,2016,66,59,2042,214,38.3,419,50.8,134,76.1,77,248,117,41,10,57,136,12.3,15.9,0.116,0.9
Matt Barnes,SF,35,MEM,2016,76,45,2190,370,32.2,323,44.9,138,80.4,84,336,163,78,57,121,234,11.7,17.9,0.056,1.3
Will Barton,SG,25,DEN,2016,82,1,2353,325,34.5,658,47.599999999999994,268,80.60000000000001,59,417,203,71,39,139,147,16,23,0.088,1.1
Brandon Bass,PF,30,LAL,2016,66,0,1342,2,0,315,55.2,148,84.5,104,181,74,33,55,42,125,17.4,13.9,0.146,1
Nicolas Batum,SF,27,CHO,2016,70,70,2448,399,34.8,474,49.2,192,84.89999999999999,55,373,403,65,43,205,114,15.6,21.4,0.097,2.5
Jerryd Bayless,SG,27,MIL,2016,52,18,1505,231,43.7,206,40.8,90,77.8,21,120,163,47,11,73,111,12.4,16.4,0.075,0.4
Aron Baynes,C,29,DET,2016,81,1,1233,2,0,382,50.8,165,76.4,140,244,51,21,52,67,151,17.8,18.5,0.158,0.6
Kent Bazemore,SF,26,ATL,2016,75,68,2083,305,35.699999999999996,420,50.2,151,81.5,28,351,171,98,38,138,176,13.4,20,0.094,1.2
Bradley Beal,SG,22,WAS,2016,55,35,1708,271,38.7,528,48.1,176,76.7,41,147,162,54,11,112,117,15.5,25.3,0.076,0.6
Michael Beasley,PF,27,HOU,2016,20,0,363,9,33.300000000000004,196,53.1,49,77.60000000000001,29,69,16,11,9,24,39,22.5,29.7,0.128,-0.1
Marco Belinelli,SG,29,SAC,2016,68,7,1672,297,30.599999999999998,338,45.6,138,83.3,10,107,127,37,2,80,91,9.4,19.7,0.014,-0.9
Anthony Bennett,PF,22,TOR,2016,19,0,84,14,21.4,13,38.5,10,90,6,17,0,5,0,4,8,10.4,19.2,0.054,-0.2
Patrick Beverley,PG,27,HOU,2016,71,63,2041,310,40,284,47.199999999999996,88,68.2,73,177,239,94,26,91,234,13,15.3,0.102,1.6
Bismack Biyombo,C,23,TOR,2016,82,22,1808,1,0,287,54.400000000000006,226,62.8,182,473,29,19,133,71,225,14.9,11.5,0.156,0.9
Nemanja Bjelica,PF,27,MIN,2016,60,0,1075,125,38.4,110,56.39999999999999,55,72.7,49,161,83,26,21,47,154,11.2,12.8,0.087,0.6
DeJuan Blair,C,26,WAS,2016,29,0,218,1,0,67,41.8,13,38.5,20,37,11,8,2,15,53,5.4,17.8,-0.015,-0.2
Steve Blake,PG,35,DET,2016,58,2,986,151,34.4,89,46.1,20,80,9,80,200,24,5,81,70,9.8,14.6,0.053,-0.4
Eric Bledsoe,PG,26,PHO,2016,31,31,1059,129,37.2,363,48.199999999999996,172,80.2,18,107,190,63,19,110,75,20,27.2,0.116,1.3
Bojan Bogdanovic,SF,26,BRK,2016,79,39,2115,338,38.2,411,47.4,132,83.3,36,219,99,29,5,115,119,10.7,19.4,0.021,-0.8
Andrew Bogut,C,31,GSW,2016,70,66,1451,1,100,278,62.6,50,48,121,371,162,33,114,83,221,15.9,11.4,0.18,2.4
Matt Bonner,C,35,SAS,2016,30,2,206,34,44.1,23,60.9,4,75,3,24,9,6,1,3,16,14.1,13.7,0.181,0.2
Devin Booker,SG,19,PHO,2016,76,51,2108,289,34.300000000000004,578,46.400000000000006,256,84,27,160,200,44,20,160,225,11.9,23,0.043,-0.6
Trevor Booker,PF,28,UTA,2016,79,2,1632,41,29.299999999999997,347,51.300000000000004,106,67,166,286,84,59,41,81,169,14.4,14.6,0.128,1.4
Chris Bosh,PF,31,MIA,2016,53,53,1778,222,36.5,545,50.8,268,79.5,48,342,128,36,34,78,101,20.2,24.7,0.172,1.8
Avery Bradley,SG,25,BOS,2016,76,72,2536,407,36.1,612,50.5,123,78,48,172,158,117,19,109,164,13.2,19.8,0.09,1.4
Elton Brand,C,36,PHI,2016,17,1,225,1,0,71,43.7,9,88.9,9,54,18,9,8,11,32,11.4,16.9,0.036,-0.1
Corey Brewer,SF,29,HOU,2016,82,12,1669,224,27.200000000000003,328,46,140,75,42,157,109,84,19,78,168,9.9,17.8,0.035,-0.5
Aaron Brooks,PG,31,CHI,2016,69,0,1108,185,35.699999999999996,284,43,64,76.6,21,80,180,30,10,82,132,11.8,22.9,0.04,-0.4
Anthony Brown,SF,23,LAL,2016,29,11,599,70,28.599999999999998,56,33.900000000000006,20,85,9,61,19,14,5,15,34,4.9,11,-0.024,-0.5
Lorenzo Brown,PG,25,PHO,2016,8,0,61,8,12.5,17,41.199999999999996,4,75,0,7,11,3,1,9,4,4.4,24.9,-0.157,-0.1
Markel Brown,SG,24,BRK,2016,62,6,982,121,31.4,201,44.3,94,75.5,23,99,91,38,15,54,94,11.3,18.9,0.031,-0.2
Kobe Bryant,SF,37,LAL,2016,66,66,1863,467,28.499999999999996,646,41,281,82.6,41,206,184,62,13,129,115,14.9,32.2,-0.01,-0.2
