ring,x97,x98,x99,x00,x01,x02,x03,x04,sex,bm,hb,cond,hcb,oxy,dde,p99,p118,p138,p153,p170,p180,pc1
380391,1,0,0,0,0,0,0,0,2,1640,136.3,0.07907,21.15,44.49,93.6,25.08,53.41,76.45,147.75,25.37,79.08,-1.694
380392,1,1,1,1,0,0,0,0,2,1490,135.2,-0.00703,15.57,27.63,85.12,22.24,47.64,74.19,154.87,29.49,102.18,-1.426
380393,1,1,1,0,0,0,0,0,1,1710,148.7,-0.0636,30.38,39.72,12.09,51.23,83.13,194.45,404.89,56.55,187.94,-2.698
380394,1,1,0,1,0,0,0,0,2,1440,133.2,-0.0231,7.41,9.96,44.77,9.71,17.4,32.95,49.93,10.81,33.37,1.631
380395,1,1,0,0,0,0,0,0,2,1690,139.9,0.07751,15.47,15.09,33.08,17.1,25.08,51.56,78.01,12.65,39.37,0.524
380396,1,0,0,0,0,0,0,1,2,1380,139,-0.11732,23.83,21.53,83.39,23.21,34.87,63.99,90.11,15.43,46.67,-0.653
380397,1,1,1,1,0,0,0,0,2,1610,136.2,0.0615,7.35,12.47,41.22,12.41,22.09,40.02,70.82,13.23,42.68,1.046
380398,1,1,1,0,1,0,0,0,2,1690,142.4,0.05604,13.13,10.34,80.25,17.25,32.78,54.38,75.62,12.05,34.3,0.296
380399,1,0,0,0,0,0,0,0,1,2100,149.5,0.13796,18.34,28.86,79.12,23.25,51.85,72.97,149.16,27.77,89.69,-1.44
380400,1,1,1,1,1,0,0,0,2,1360,130.6,-0.05637,8.85,10.09,62.12,17.66,28.66,50.39,75.52,13.96,41.96,0.508
380451,1,1,1,1,1,1,1,0,2,1370,136.9,-0.10614,8.34,13.89,73.79,17.89,23.78,49.83,62.75,10.28,28.6,0.722
380452,1,1,1,0,0,0,0,0,2,1540,138.3,-0.0015,6.64,8.88,34.24,11.06,17.29,36.74,55.71,10.28,32.21,1.719
380453,1,1,1,1,1,1,1,0,2,1440,134,-0.03036,10.44,9.6,54.25,13.25,20.99,42.42,68.25,11.61,37.85,0.964
380454,1,1,0,0,0,0,0,0,1,1880,148.6,0.03166,10.99,33.46,88.22,24.16,54.73,90.74,208.74,39.23,176.27,-1.928
380455,1,1,1,1,1,1,0,0,1,1790,152.4,-0.03565,27.08,40.92,118.18,57.7,101.57,252.48,220.57,67.78,209.89,-3.719
380456,1,1,1,1,1,0,0,0,2,1640,135.5,0.0862,18.49,66.46,153.98,41.42,93.89,150.98,311.9,60.71,191.9,-3.537
380457,1,1,0,0,0,0,0,0,2,1590,130.2,0.1036,19.22,22.78,61.33,25.72,45.23,88.81,152.51,27.91,85.27,-1.327
380458,1,1,1,0,0,0,0,0,1,1820,150.6,-0.01044,9.26,9.41,55.35,11.19,25.52,41.36,66.61,13.46,44.66,0.911
380459,1,0,0,0,0,0,0,0,2,1470,134.8,-0.01695,4.02,5.58,27.56,6.95,9.8,19.51,26.64,4.43,13.1,3.661
380460,1,0,0,1,1,1,1,1,2,1570,133.7,0.05879,8.14,10.24,47.13,14.98,21.6,47.89,70.31,1.51,37.93,1.691
380461,1,1,1,1,1,0,0,0,1,1790,151.6,-0.03184,7.68,11.91,61.77,15.76,28.98,50.39,82.5,15.9,50.68,0.41
